Diff,,Title,Author,Pages,Series/Notes,Cycle,Anticipated Start Date,Completion Date,Rating,Number of Days,Pg/Day
10,290,The Computer And The Brain,Von Neumann,112,,Philosophy / Theory / Nonfiction,04/25/55,,,37,3
4,291,The Death Of Ivan Ilych,Tolstoy,88,,High Literary / Modernist Core,06/01/55,,,4,21
7,292,Oedipus Rex,Sophocles,75,,Drama / Theatre,06/05/55,,,6,12
6,293,For Whom The Bell Tolls,Hemingway,471,,High Literary / Modernist Core,06/11/55,,,31,15
3,294,Upgrade,Crouch,352,,Speculative SF,07/12/55,,,14,24
4,295,My Struggle Book 4,Knausgård,502,,Contemporary / Realist / Satirical Fiction,07/26/55,,,23,21
10,296,Category Theory For The Sciences,Spivak,486,,Philosophy / Theory / Nonfiction,08/18/55,,,162,3
4,297,One Thousand And One Nights,Unknown,2741,"the penguin 3-volume piece, which adds up to this pg ct",High Literary / Modernist Core,01/27/56,,,130,21
9,298,Against The  Day,Pynchon,1085,,Experimental / Postmodern / Metafiction,06/05/56,,,180,6
3,299,Behemoth: B Max,Watts,301,"Rifters trilogy if this is bad, drop it. Interesting ideas are in book 1",Hard SF,12/02/56,,,12,24
9,300,2666,Bolano,912,,High Literary / Modernist Core,12/14/56,,,152,6
5,301,The Quantum Thief,Ranjami,336,it's a series,Speculative SF,05/15/57,,,18,18
5,302,The Fractal Prince,Ranjami,300,,Speculative SF,06/02/57,,,16,18
5,303,The Causal Angel,Ranjami,292,,Speculative SF,06/18/57,,,16,18
7,304,My Struggle Book 5,Knausgård,656,,Contemporary / Realist / Satirical Fiction,07/04/57,,,54,12
7,305,Water Margin,Shi Nai'an,924,the jh jackson 2 volume edition,High Literary / Modernist Core,08/27/57,,,77,12
8,306,Voice Of The Fire,Moore,304,,Experimental / Postmodern / Metafiction,11/12/57,,,33,9
3,307,Behemoth: Seppuku,Watts,304,"Rifters trilogy if this is bad, drop it. Interesting ideas are in book 1",Hard SF,12/15/57,,,12,24
4,308,Candide,Voltaire,112,,Contemporary / Realist / Satirical Fiction,12/27/57,,,5,21
4,309,The Algebraist,Banks,534,,Speculative SF,01/01/58,,,25,21
8,310,My Struggle Book 6,Knausgård,1248,,Contemporary / Realist / Satirical Fiction,01/26/58,,,138,9
1,311,The Invisibles,Morrison,1520,,Experimental / Postmodern / Metafiction,06/13/58,,,50,30
6,312,Strange Code,Kneusel,496,,Philosophy / Theory / Nonfiction,08/02/58,,,33,15
5,313,Frankenstein,Shelley,280,,Weird / Horror / Dark Speculative,09/04/58,,,15,18
3,314,Timescape,Benford,512,,Hard SF,09/19/58,,,21,24
4,315,Schismatrix,Sterling,288,,Speculative SF,10/10/58,,,13,21
5,316,Native Son,Wright,504,,Contemporary / Realist / Satirical Fiction,10/23/58,,,28,18
9,317,Jerusalem,Moore,1266,,Experimental / Postmodern / Metafiction,11/20/58,,,211,6
9,318,Being No One,Metzinger,634,,Philosophy / Theory / Nonfiction,06/19/59,,,105,6
6,319,A Fire Upon The Deep,Vinge,613,Zones of Thought Series,Hard SF,10/02/59,,,40,15
4,320,The Count Of Monte Cristo,Dumas,1276,,Contemporary / Realist / Satirical Fiction,11/11/59,,,60,21
9,321,Solenoid,cartarescu,640,,High Literary / Modernist Core,01/10/60,,,106,6
3,322,Mexican Gothic,Moreno-Garcia,301,,Speculative SF,04/25/60,,,12,24
5,323,"Everything Ravaged, Everything Burned",Tower,256,,Contemporary / Realist / Satirical Fiction,05/07/60,,,14,18
8,324,Cyclonopedia,Negarestani,256,,Experimental / Postmodern / Metafiction,05/21/60,,,28,9
10,325,Of Grammatology,Derrida,316,,Philosophy / Theory / Nonfiction,06/18/60,,,105,3
9,326,The Second Sex,de Beauvoir,746,,Philosophy / Theory / Nonfiction,10/01/60,,,124,6
6,327,Deepness In The Sky,Vinge,774,Zones of Thought Series,Hard SF,02/02/61,,,51,15
7,328,Titus Groan,Peake,396,Gormanghast Series,High Literary / Modernist Core,03/25/61,,,33,12
7,329,Gormenghast,Peake,505,,High Literary / Modernist Core,04/27/61,,,42,12
7,330,Titus Alone,Peake,284,,Experimental / Postmodern / Metafiction,06/08/61,,,23,12
4,331,Lilith'S Brood,Butler,752,<- this is a 3 book series combined into one collection,Speculative SF,07/01/61,,,35,21
5,332,Tenth Of December,Saunders,251,,Contemporary / Realist / Satirical Fiction,08/05/61,,,13,18
8,333,Lolita,Nabokov,336,,High Literary / Modernist Core,08/18/61,,,37,9
2,334,The Cage,Chandler,25,,Speculative SF,09/24/61,,,1,27
4,335,The Unconsoled,Ishiguro,535,,Contemporary / Realist / Satirical Fiction,09/25/61,,,25,21
9,336,Discipline And Punish ,Foucault,308,,Philosophy / Theory / Nonfiction,10/20/61,,,51,6
10,337,Simulacra And Simulation,Baudrillard,164,,Philosophy / Theory / Nonfiction,12/10/61,,,54,3
9,338,Blinding: The Left Wing,cartarescu,464,,High Literary / Modernist Core,02/02/62,,,77,6
4,339,Embassytown,Mieville,345,,Speculative SF,04/20/62,,,16,21
10,340,Anti Oedipus,Deleuze and Guattari,382,,Philosophy / Theory / Nonfiction,05/06/62,,,127,3
6,341,Anathem,Stephenson,937,,Hard SF,09/10/62,,,62,15
6,342,Baudolino,Eco,521,,High Literary / Modernist Core,11/11/62,,,34,15
10,343,A Thousand Plateaus,Deleuze and Guattari,514,,Philosophy / Theory / Nonfiction,12/15/62,,,171,3
2,344,The Player Of Games,Banks,391,The Culture series,Speculative SF,06/04/63,,,14,27
2,345,Use Of Weapons,Banks,499,,Speculative SF,06/18/63,,,18,27
2,346,Consider Phlebas,Banks,514,,Speculative SF,07/06/63,,,19,27
2,347,State Of The Art,Banks,214,,Speculative SF,07/25/63,,,7,27
2,348,Excession,Banks,451,,Speculative SF,08/01/63,,,16,27
2,349,Inversions,Banks,405,,Speculative SF,08/17/63,,,15,27
2,350,Look To Windward,Banks,403,,Speculative SF,09/01/63,,,14,27
2,351,Matter,Banks,593,,Speculative SF,09/15/63,,,21,27
2,352,Surface Detail,Banks,627,,Speculative SF,10/06/63,,,23,27
2,353,Hydrogen Sonata,Banks,630,,Speculative SF,10/29/63,,,23,27
7,354,Strategy Of Conflict,Schelling,346,,Philosophy / Theory / Nonfiction,11/21/63,,,28,12
7,355,Glass Bead Game,Hesse,576,,High Literary / Modernist Core,12/19/63,,,48,12
2,356,Revelation Space,Reynolds,585,,Speculative SF,02/05/64,,,21,27
7,357,The Evolution Of Cooperations,Axelrod,215,,Philosophy / Theory / Nonfiction,02/26/64,,,17,12
3,358,The Echo Wife,Gailey,256,,Speculative SF,03/14/64,,,10,24
9,359,A Course In Game Theory,"Osborne, Rubinstein",312,,Philosophy / Theory / Nonfiction,03/24/64,,,52,6
7,360,Silence,Endo,213,,High Literary / Modernist Core,05/15/64,,,17,12
7,361,Riddley Walker,Hoban,256,,Speculative SF,06/01/64,,,21,12
10,362,Inner Experience,Bataille,209,,Philosophy / Theory / Nonfiction,06/22/64,,,69,3
8,363,East Of Eden,Steinbeck,601,,High Literary / Modernist Core,08/30/64,,,66,9
3,364,The Thing Itself,Roberts,352,,Speculative SF,11/04/64,,,14,24
6,365,Cloud Atlas,Mitchell,509,,Experimental / Postmodern / Metafiction,11/18/64,,,33,15
7,366,The Name Of The Rose,Eco,536,,High Literary / Modernist Core,12/21/64,,,44,12
,,the wind up bird chronicle,Murukami,607,,,,01/01/25,3.5,,
,,cryptonomicon,Stephensen,918,,,,01/09/25,4,,
,,absolution,Vandermeer,432,,,,01/12/25,1,,
,,the book of all skies,Egan,274,,,,01/15/25,2.5,,
,,blindsight,Watts,352,,,,01/24/25,2,,
,,echopraxia,Watts,530,,,,01/29/25,2,,
,,the colonel,Watts,36,,,,01/30/25,2,,
,,foucaults pendulum,Eco,790,,,,03/11/25,1.5,,
,,stories of your life and others,Chiang,281,,,,03/16/25,4,,
,,the lonesome west,Mcdonagh,60,,,,03/18/25,3,,
,,the sound and the fury,Faulkner,326,,,,04/03/25,0.5,,
,,1q84,Murukami,1157,,,,05/12/25,3,,
,,ficciones,Borges,174,,,,05/15/25,2,,
,,distress,Egan,400,,,,05/20/25,3.5,,
,,the master and margarita,Bulgakov,384,,,,05/27/25,3.5,,
,,Wolf in White Van,Darnielle,224,,,,05/31/25,4.3,,
,,Swanns Way,Proust,444,,,,01/10/26,3.8,,
,,Harlan Ellison Greatest Hits,Ellison,511,,,,01/18/26,4.2,,
,,Austerlitz,sebald,295,,,,02/04/26,2.3,,
,,The Affirmation,Priest,256,,,,02/12/26,4.3,,
,,American Psycho,Ellis,399,,,,05/19/26,3.8,,
,,How to Win At Chess,Rozman,272,,,,05/19/26,4,,
,,Axiomatic,Egan,320,,,,05/23/26,4.4,,
,,Nineteen Minutes,Picoult,455,,,,05/26/26,4.2,,
,,Post Office,Bukowski,208,,,,05/27/26,3.7,,
,,The Painted Bird,Kosinski,234,,,,06/02/26,3.8,,
,,The Pillowman,McDonagh,104,,,,06/02/26,4.7,,
,,Einstein Intersection,Delany,149,,,,06/04/26,4.1,,
,,Logical Chess,Chernev,256,,,,06/09/26,4.5,,
,,Wordslut,Montell,304,,,,06/11/26,3.1,,
,,Peace,Wolfe,264,,,,06/15/26,3,,
,,Structure And Interpretation Of Computer Programs,Abelson and Sussman,610,,,,06/18/26,4.5,,
,,Cultish,Montell,320,,,,06/22/26,3.2,,
,,Life And Fate,Grossman,896,,,,06/23/26,3.4,,
